Coalition,Size,RecomputedScore,ReferenceScore,ScoreError,RelError
"['Nigeria', 'Singapore']",2,5222.304449964205,5222.304449964205,0.0,0.0
"['Tonga', 'Uganda']",2,7302.966228013255,7302.966228013255,0.0,0.0
"['Chad', 'United Arab Emirates']",2,7760.4399283903285,7760.439928390328,9.094947017729282e-13,1.17196281417718e-16
"['Angola', 'Kiribati']",2,3581.108539533048,3581.108539533048,0.0,0.0
"['Hungary', 'Malaysia']",2,8791.235846153982,8791.235846153982,0.0,0.0
"['Jamaica', 'Senegal']",2,11418.235387928808,11418.235387928808,0.0,0.0
"['Cape Verde', 'Croatia']",2,8815.29613739689,8815.29613739689,0.0,0.0
"['Bosnia and Herzegovina', 'Georgia']",2,6825.822839735577,6825.822839735577,0.0,0.0
"['Marshall Islands', 'Togo']",2,4291.354457899435,4291.354457899435,0.0,0.0
"['Belgium', 'Tuvalu']",2,6996.335368929939,6996.335368929939,0.0,0.0
"['Botswana', 'Hungary']",2,7224.749999999998,7224.749999999998,0.0,0.0
"['Laos', 'Zimbabwe']",2,6711.923076923084,6711.923076923084,0.0,0.0
"['Jamaica', 'Latvia']",2,10346.329597859738,10346.329597859738,0.0,0.0
"['Bolivia', 'Seychelles']",2,8711.079231153199,8711.079231153199,0.0,0.0
"['Jamaica', 'Lebanon']",2,8857.48858123656,8857.48858123656,0.0,0.0
"['Bangladesh', 'Grenada']",2,7424.145208825082,7424.145208825082,0.0,0.0
"['Equatorial Guinea', 'Syria']",2,6879.602031759151,6879.602031759151,0.0,0.0
"['Belgium', 'Cuba']",2,8767.822137054742,8767.822137054742,0.0,0.0
"['Croatia', 'Laos']",2,7531.693957392477,7531.693957392477,0.0,0.0
"['Kosovo', 'Samoa']",2,-3802.999999999999,-3802.999999999999,0.0,0.0
"['Jamaica', 'Norway']",2,9985.74331089849,9985.74331089849,0.0,0.0
"['Peru', 'Viet Nam']",2,8073.744330158838,8073.744330158838,0.0,0.0
"['Costa Rica', 'Mozambique']",2,6823.101126623221,6823.101126623221,0.0,0.0
"['Congo, Democratic Republic of', 'Nepal']",2,3649.660548573756,3649.660548573756,0.0,0.0
"['Ireland', 'Trinidad and Tobago']",2,11029.62130758724,11029.62130758724,0.0,0.0
"['El Salvador', 'Uruguay']",2,8720.613103446336,8720.613103446336,0.0,0.0
"['Iceland', 'Panama']",2,8889.271376215265,8889.271376215265,0.0,0.0
"['Croatia', 'Mauritania']",2,10476.968692765613,10476.968692765611,1.8189894035458565e-12,1.7361790961558143e-16
"['Bahamas', 'Tuvalu']",2,7751.731856985813,7751.731856985813,0.0,0.0
"['Pakistan', 'Sweden']",2,11034.586454297523,11034.586454297523,0.0,0.0
"['Oman', 'Togo']",2,5023.592494884105,5023.592494884105,0.0,0.0
"['Saint Lucia', 'South Sudan']",2,4142.717101913486,4142.717101913486,0.0,0.0
"['Kazakhstan', 'Montenegro']",2,7213.324865161382,7213.324865161382,0.0,0.0
"['Afghanistan', 'Syria']",2,6250.487343637059,6250.487343637059,0.0,0.0
"['Botswana', 'Tajikistan']",2,6839.84389441747,6839.84389441747,0.0,0.0
"['Cape Verde', 'Central African Republic']",2,7671.783418293581,7671.783418293581,0.0,0.0
"['Cameroon', 'Moldova']",2,7227.3213468151,7227.3213468151,0.0,0.0
"['Belize', 'Mauritius']",2,11371.965843373664,11371.965843373664,0.0,0.0
"['Cyprus', 'Papua New Guinea']",2,9259.253521476305,9259.253521476305,0.0,0.0
"['Iran', 'Marshall Islands']",2,4899.08691814903,4899.08691814903,0.0,0.0
"['Malta', 'Somalia']",2,5090.26276368588,5090.26276368588,0.0,0.0
"['Gambia', 'Tunisia']",2,8844.645491034049,8844.645491034049,0.0,0.0
"['Ethiopia', 'Kyrgyzstan']",2,5616.894827215477,5616.894827215477,0.0,0.0
"['Azerbaijan', 'Bahrain']",2,8352.55242145328,8352.55242145328,0.0,0.0
"['Iran', 'Mongolia']",2,4503.658135046266,4503.658135046266,0.0,0.0
"['Burundi', 'Ghana']",2,8718.500000000002,8718.500000000002,0.0,0.0
"['Peru', 'Trinidad and Tobago']",2,9451.806078526093,9451.806078526091,1.8189894035458565e-12,1.9244887045222877e-16
"['Afghanistan', 'Samoa']",2,8381.637943537133,8381.637943537133,0.0,0.0
"['Cape Verde', 'Kiribati']",2,4227.1935483871,4227.1935483871,0.0,0.0
"['South Sudan', 'Tunisia']",2,3840.4581365086933,3840.458136508693,4.547473508864641e-13,1.1840966226489544e-16
"['Czech Republic', 'Haiti']",2,5085.535861003083,5085.535861003083,0.0,0.0
"['Bahamas', 'Palau']",2,9954.14491736193,9954.14491736193,0.0,0.0
"['Jordan', 'Panama']",2,10688.314031787488,10688.314031787488,0.0,0.0
